t,u,w,q,theta,theta_deg,V,Q,alpha_raw_deg,alpha_deg,Cx,Cz,Cm,X_cfd,Z_cfd,M_cfd,M_damp,M_bg,M_cable,T,M_thruster
0.35000000000000003,-0.048013965760947803,0.1083554869243542,0.9619388787556798,0.19063471191806647,10.922564421597503,0.11851688679132338,7.005996822485166,113.89886110991503,66.10113889008494,-0.04231268908176959,-5.802673890912312,-0.6500407785039599,-0.0016821633365547081,-0.2306883699689389,-0.016151696875606466,-0.33459739884052964,0.6238757892025223,0.0,0.0,0.0
0.36,-0.05177978083161735,0.11094450820756566,0.9768506343513992,0.20032920625416314,11.478018031569324,0.12243295963256352,7.476634704991913,115.01930093912533,64.98069906087466,-0.007380664205997778,-5.784025403645472,-0.6544715343000961,-0.00031313326732740544,-0.2453940082352484,-0.017354197754792734,-0.34499971954072006,0.6226793282662794,0.0,0.0,0.0
0.37,-0.05570010883572532,0.11348012811511195,0.9910617671109672,0.2101693598516181,12.041817302463967,0.12641298035144125,7.970632896034109,116.1434570869332,63.85654291306679,0.03811683353315619,-5.773941050509064,-0.6441389973341319,0.0017239998475116485,-0.26115163742444875,-0.018208745163314416,-0.35506147478429595,0.6214050446983217,0.0,0.0,0.0
0.38,-0.05977231202060482,0.11595928281387018,1.0046048789920887,0.2201483083692096,12.613568936500288,0.13045798003570216,8.488887259983015,117.26927126663796,62.73072873336207,0.09121595248706323,-5.766851856448212,-0.620976380124664,0.004393889831362635,-0.2777903539911644,-0.018695344178784896,-0.36478483956482616,0.6200513397093984,0.0,0.0,0.0
0.39,-0.06399315299185934,0.11837863581623603,1.017517229400781,0.23025945728557098,13.192895095436072,0.13456829138973475,9.03222905553079,118.39478028761305,61.60521971238694,0.14565941961386622,-5.759491549284788,-0.5956378487060258,0.007465538134002022,-0.2951934307278728,-0.019080284531880216,-0.3741776536839084,0.6186167253397242,0.0,0.0,0.0
0.4,-0.06836103493610474,0.12073549096954454,1.0298060309365866,0.2404966018256549,13.779440271848275,0.13874541389607192,9.601669210090918,119.5187547544518,60.481245245548166,0.19521997145628386,-5.748592110945853,-0.5787695517344814,0.010636496099499054,-0.31321015523956747,-0.01970879321929152,-0.38322776381060764,0.6170998038091526,0.0,0.0,0.0
0.41000000000000003,-0.07287509610382777,0.1230287759466799,1.0414626502820117,0.2508534322636256,14.372842945076624,0.1429925149897032,10.19849472657136,120.64003528203241,59.359964717967614,0.23565469720474896,-5.725282093968897,-0.5768483561253647,0.013637657423124368,-0.33132985157710015,-0.020864373698158863,-0.39191224041166,0.6154993385783217,0.0,0.0,0.0
0.42,-0.077534053526082,0.12525784176074917,1.0524855257876138,0.26132365313061084,14.972742411324685,0.14731278416602622,10.824063751119231,121.75732550201663,58.24267449798339,0.2721060131571903,-5.666808658405938,-0.5773813339899859,0.016713064183561357,-0.3480619032449963,-0.022164640863224887,-0.40021407038589113,0.6138142430450731,0.0,0.0,0.0
0.43,-0.08233620711931539,0.1274223812460621,1.0628804294561445,0.271901006958111,15.578780144056989,0.15170930836705965,11.479789459083761,122.86923258853646,57.13076741146352,0.30545537583380505,-5.5813738055482105,-0.5781094404535805,0.019897994034394295,-0.3635822168241963,-0.02353702682014497,-0.40812265954113647,0.6120435806206264,0.0,0.0,0.0
0.44,-0.08727943968537,0.12952242905813108,1.0726604669425486,0.2825792742779989,16.190599793999038,0.15618501919489824,12.167131919865968,123.97428839646643,56.02571160353358,0.33570390985614224,-5.480638215813554,-0.5787367478143396,0.02317780029542703,-0.3783963615796054,-0.024973355184881998,-0.41563409610616997,0.6101865677085581,0.0,0.0,0.0
0.45,-0.09236126958311551,0.13155796220566132,1.0818457081073456,0.29335231473661444,16.807849544801392,0.16074234519475927,12.887541204529118,125.07106644223984,54.92893355776016,0.362864716075582,-5.3758183514853455,-0.5789799656853227,0.026536424620042395,-0.39313549137006054,-0.026463130636685893,-0.42275107822951935,0.6082425687395315,0.0,0.0,0.0
0.46,-0.09757952543203313,0.13352844336039,1.090451153798599,0.3042142904108508,17.430194908108902,0.16538321852530768,13.64244919775618,126.15847846653354,53.84152153346645,0.38624505157034544,-5.2497435683519456,-0.5789708916144807,0.02990080453882368,-0.4064040579369069,-0.028012811092092624,-0.42947363396742844,0.6062110545127914,0.0,0.0,0.0
0.47000000000000003,-0.10293203279602033,0.13543594235117906,1.0984836343059288,0.31515940315369284,18.057303674568608,0.17011142776448884,14.433659161600971,127.23502614601593,52.76497385398409,0.4066703573851952,-5.096515735948634,-0.5789461351072451,0.03330784717495345,-0.41742399999155283,-0.02963617989437224,-0.4357964408982893,0.6040916469717443,0.0,0.0,0.0
0.48,-0.10841606621120677,0.1372815702934706,1.1059542536325524,0.32618199520776153,18.68885167856118,0.1749293370334258,15.262819444608374,128.29938692625277,51.70061307374726,0.4260233977081187,-4.93352994835628,-0.5789062817658873,0.03689740461680718,-0.42728744870100943,-0.031336511428184805,-0.441718443862914,0.6018841000246324,0.0,0.0,0.0
0.49,-0.11402834166495533,0.13906503281527238,1.1128790856536028,0.3372765772015857,19.324524402269144,0.1798375546285385,16.13133251197249,129.35052445609094,50.649475543909034,0.44607225652185595,-4.777080950871985,-0.5788519672741677,0.040832226030318546,-0.4372808357822109,-0.033116571951436885,-0.4472434900908451,0.5995882912605394,0.0,0.0,0.0
0.5,-0.11976501659586196,0.1407846300571577,1.119279174116129,0.3484378281496021,19.964016975676873,0.184834983865441,17.040322667316694,130.38770219423964,49.61229780576036,0.46830399519346544,-4.640619776599936,-0.5780158528131243,0.04528280044638951,-0.4487261724182613,-0.0349321391479018,-0.4523803986741499,0.5972042182509193,0.0,0.0,0.0
0.51,-0.12562168989375574,0.1424372566722654,1.1251805326390962,0.35966059545215534,20.60703417657059,0.18991888020964043,17.990604163739103,131.41049029208114,48.589509707918864,0.4920673680005419,-4.516215662826245,-0.5696479800112595,0.050234017640057374,-0.4610499944236643,-0.036346276619583145,-0.4571430035045311,0.5947319945020569,0.0,0.0,0.0
0.52,-0.1315935681389458,0.14401916124066863,1.130617429348047,0.37093995303338445,21.25329376159391,0.19508558629484926,18.982780788299923,132.4186522857475,47.5813477142525,0.5167177554597218,-4.3980921477980806,-0.5552027662259257,0.055659694456517785,-0.47375276454407256,-0.03737825921771202,-0.46155284283563813,0.5921718316932824,0.0,0.0,0.0
0.53,-0.13767628674867394,0.14552937125540705,1.135622411359271,0.3822714829499011,21.90254260123654,0.20033361632760785,20.017836041673814,133.41163721409612,46.58836278590388,0.5419278958008407,-4.28410387618777,-0.5382397461777265,0.06155824575194192,-0.4866365457114833,-0.03821206523206894,-0.4656310702332981,0.5895239663145616,0.0,0.0,0.0
0.54,-0.14386531582578002,0.14696697613167164,1.1402056373701859,0.39365095084336754,22.554538084636796,0.20566118051528046,21.096679977901427,134.38897669590312,45.611023304096875,0.5673949175374252,-4.1722754486941955,-0.5220230413304451,0.06792461047992897,-0.49947607197033295,-0.039058126280250315,-0.4693813708968967,0.5867887224505266,0.0,0.0,0.0
0.55,-0.15015585274453186,0.14833099934086608,1.14437616862414,0.40507419772662356,23.209041919383335,0.21106602161147955,22.220105397997262,135.35028375584173,44.6497162441583,0.5930668491649028,-4.06138662028598,-0.5091943996544055,0.07477860580870221,-0.5120920677706894,-0.040127060871564854,-0.47280704863929046,0.5839665332026871,0.0,0.0,0.0
0.56,-0.1565428388209864,0.14962048694213298,1.148143167026518,0.41653714434179123,23.865820381216217,0.21654549290838246,23.38879051583371,136.29523671982525,43.704763280174745,0.620639196095543,-3.9555450826217182,-0.4980066522347944,0.08237104281368979,-0.5249787241957493,-0.04130955586877286,-0.4759119699237447,0.5810579373134103,0.0,0.0,0.0
0.5700000000000001,-0.16302095931298988,0.15083450758235412,1.1515158951447413,0.428035791160275,24.52464431402687,0.2220965597503454,24.603286794049716,137.22357661349002,42.776423386509975,0.6490844403027693,-3.8532622669075223,-0.48734609809265717,0.0906195555671711,-0.5379591505044126,-0.042524404448009326,-0.478700538595109,0.5780635765733135,0.0,0.0,0.0
